country,attraction,address
Cambodia,Angkor_Silk_Farm-Siem_Reap_Siem_Reap_Province,"Airport Road | Puok District, Siem Reap 17259, Cambodia"
Cambodia,La_Plantation-Kampot_Kampot_Province,"Bosjheng village, Kon Sat commune | old market Street, Kampot 07000, Cambodia"
Cambodia,Farm_Link-Kampot_Kampot_Province," | Tooy Khang Cheun Village, Angdong Khmer Area, Kampot, Cambodia"
China,Mutianyu_Great_Wall-Beijing,"Mutianyu Road, Huairou District, Beijing, China"
China,MTR-Hong_Kong,"Hong Kong, China"
China,Catherine_Lu_Tours-Beijing,"Room 408,Building 313, Shaoyaoju Beili, Beijing 100025, China"
China,Airport_Express-Hong_Kong,"Hong Kong, China"
China,Summer_Palace_Yiheyuan-Beijing,"19 Xin-jian-gong-men Rd, Haidian District, Beijing 100084, China"
China,Tian_Tan_Buddha_Big_Buddha-Hong_Kong,"Lantau Island, Hong Kong, China"
China,Temple_of_Heaven_Tiantan_Park-Beijing,"Tiantan Road, Dongcheng District, Beijing 100050, China"
China,The_Great_wall_of_Jiankou_The_Great_Wall_Alternative-Beijing,"Beijing, China"
China,The_Museum_of_Qin_Terra_cotta_Warriors_and_Horses-Xi_an_Shaanxi,"Qinling North Road, Lintong District, Xi'an 710600, China"
China,Potala_Palace-Lhasa_Tibet,"No.35 Gongqian Alley, Beijing Middle Road | Cheng Guan District, Lhasa 850000, China"
China,Forbidden_City_The_Palace_Museum-Beijing,"No.4 Jingshanqian Street, Dongcheng District, Beijing 100009, China"
China,Hong_Kong_Museum_of_History-Hong_Kong,"100 Chatham Rd S, Tsim Sha Tsui East, Kowloon, Hong Kong, China"
China,Summer_Palace_Yiheyuan-Beijing,"19 Xin-jian-gong-men Rd, Haidian District, Beijing 100084, China"
China,Tian_Tan_Buddha_Big_Buddha-Hong_Kong,"Lantau Island, Hong Kong, China"
China,Po_Lin_Precious_Lotus_Monastery-Hong_Kong,"Lantau Island, Hong Kong, China"
China,Leshan_Giant_Buddha_Da_Fo-Leshan_Sichuan,"No.2435 Lingyun Street, Shizhong District, Leshan 614000, China"
China,Harbin_Ice_and_Snow_World-Harbin_Heilongjiang,"North bank of Songhua River, Songbei District, Harbin 150000, China"
China,Ocean_Park-Hong_Kong,"No.180 Wong Chuk Hang Road, Hong Kong, China"
China,Chimelong_Paradise-Guangzhou_Guangdong,"Yingbin Road, Panyu District, Guangzhou 511430, China"
China,Chimelong_Ocean_Kingdom-Zhuhai_Guangdong,"Fuxiangwan, Hengqin New Area, Zhuhai 519031, China"
China,Mt_Huangshan_Yellow_Mountain-Huangshan_Anhui,"Huangshan Scenic Area, Huangshan District, Huangshan 245000, China"
China,Zhangjiajie_National_Forest_Park-Zhangjiajie_Hunan,"Wulingyuan District, Zhangjiajie 427000, China"
China,Longmen_Grottoes-Luoyang_Henan,"Banks of Yihe River, Luolong District | Banks of Yihe River, Luolong District, 471000, Luoyang, Henan, Luoyang 471000, China"
China,Yunnan_Stone_Forest_Geological_Park-Shilin_County_Yunnan,"Shilin Town, Shilin County 650000, China"
China,Ocean_Park-Hong_Kong,"No.180 Wong Chuk Hang Road, Hong Kong, China"
China,Chimelong_Safari_Park-Guangzhou_Guangdong,"Dashi street, Panyu District | m, Guangzhou 511430, China"
China,Chimelong_Ocean_Kingdom-Zhuhai_Guangdong,"Fuxiangwan, Hengqin New Area, Zhuhai 519031, China"
China,Dujiangyan_Panda_Base_and_Center_for_Disease_Control-Chengdu_Sichuan,"Shiqiao Village, Qingchengshan Town, Chengdu 610000, China"
China,Summer_Palace_Yiheyuan-Beijing,"19 Xin-jian-gong-men Rd, Haidian District, Beijing 100084, China"
China,Chi_Lin_Nunnery-Hong_Kong,"Chi Lin Rd, Diamond Hill, Hong Kong, China"
China,Yu_Garden_Yuyuan-Shanghai,"No.218 Anren Street, Huangpu District | near Fuyou Road, Shanghai 200010, China"
China,Humble_Administrator_s_Garden-Suzhou_Jiangsu,"No.178 Northeast Road, Pingjiang District, Suzhou 215001, China"
China,The_House_of_Dancing_Water-Macau,"City of Dreams Macau, Macau, China"
China,ERA_Acrobats-Shanghai,"No.2266 Gonggexin Road, Shanghai, China"
China,Chaoyang_Theater-Beijing,"36 North East Third Ring Road, Chaoyang District | Subway line 10 or 6 get off at Hujialou exit C1, Beijing 100024, China"
China,Chimelong_International_Circus-Guangzhou_Guangdong,"Yingbin Road, Panyu District, Guangzhou 511430, China"
India,Taj_Mahal-Agra_Agra_District_Uttar_Pradesh,"Agra 282001, India"
India,Harmandir_Sahib-Amritsar_Amritsar_District_Punjab,"Golden Temple Road, Amritsar 143006, India"
India,Elefantastic-Amer_Jaipur_Jaipur_District_Rajasthan,"90 Chandra Mahal Colony, Delhi Road, Amer, Jaipur 302028, India"
India,Amber_Fort-Amer_Jaipur_Jaipur_District_Rajasthan," | Devisinghpura, Amer, Jaipur 302001, India"
India,Khajuraho_Temples-Khajuraho_Chhatarpur_District_Madhya_Pradesh,"Khajuraho, India"
India,Hall_of_Fame-Leh_Leh_District_Ladakh_Jammu_and_Kashmir,"Leh-Spituk highway south of Leh, Leh, India"
India,City_Palace_of_Udaipur-Udaipur_Udaipur_District_Rajasthan," | City Palace Complex, Udaipur 313001, India"
India,Jantar_Mantar_Jaipur-Jaipur_Jaipur_District_Rajasthan,"Tripoliya Bazaar | near entrance to City Palace, Jaipur 302020, India"
India,Taj_Mahal-Agra_Agra_District_Uttar_Pradesh,"Agra 282001, India"
India,Amber_Fort-Amer_Jaipur_Jaipur_District_Rajasthan," | Devisinghpura, Amer, Jaipur 302001, India"
India,Gurudwara_Bangla_Sahib-New_Delhi_National_Capital_Territory_of_Delhi,"Ashoka Road | Connaught Place,Next to Grand Post Office, New Delhi 110001, India"
India,Mehrangarh_Fort-Jodhpur_Jodhpur_District_Rajasthan,"Fort Rd., Jodhpur 342006, India"
India,Drass_War_Memorial-Kargil_Kargil_District_Ladakh_Jammu_and_Kashmir,"Kargil, India"
India,Hanuman_Mandir-Patna_Patna_District_Bihar,"Patna Junction | Patna, Patna 800001, India"
India,Bara_Imambara-Lucknow_Lucknow_District_Uttar_Pradesh,"Chowk, Lucknow 226003, India"
India,Longewala_War_Memorial-Jaisalmer_Jaisalmer_District_Rajasthan,"Longewala, Jaisalmer, India"
India,Wonderla_Amusement_Park-Bengaluru_Bangalore_District_Karnataka,"28th km Mysore Road, Bengaluru 562109, India"
India,Ramoji_Film_City-Hyderabad_Hyderabad_District_Telangana," | Anaspur Village, Hyderabad 501512, India"
India,Wonderla_Amusement_Park-Kochi_Cochin_Kerala,"Kakkanad Pallikara Road, Kochi (Cochin) 683565, India"
India,KidZania_Mumbai-Mumbai_Bombay_Maharashtra,"R City, 3rd Floor, North Wing | LBS Marg, Ghatkopar, Mumbai (Bombay) 400086, India"
India,Swaminarayan_Akshardham-New_Delhi_National_Capital_Territory_of_Delhi,"Nh 24, New Delhi 110002, India"
India,Humayun_s_Tomb-New_Delhi_National_Capital_Territory_of_Delhi,"East Nizamudhin | Opp Nizamuddin Mosque, New Delhi 110002, India"
India,Tea_Gardens-Munnar_Idukki_District_Kerala,"Munnar 685612, India"
India,Lodi_Gardens-New_Delhi_National_Capital_Territory_of_Delhi,"Lodi Road, New Delhi 110002, India"
India,Sri_Chamarajendra_Zoological_Gardens-Mysuru_Mysore_Mysore_District_Karnataka,"Indiranagar | Near Mysore Palace, Mysuru (Mysore) 570 010, India"
India,Nandankanan_Zoological_Park-Bhubaneswar_Khurda_District_Odisha,"Mayur Bhawan | Saheed Nagar, Bhubaneswar 751007, India"
India,Sayaji_Baug-Vadodara_Vadodara_District_Gujarat,"Kala Goda Circle, Vadodara, India"
India,Padmaja_Naidu_Himalayan_Zoological_Park-Darjeeling_Darjeeling_District_West_Benga,"Jawahar Parbat, Darjeeling 734101, India"
India,Harmandir_Sahib-Amritsar_Amritsar_District_Punjab,"Golden Temple Road, Amritsar 143006, India"
India,Gurudwara_Bangla_Sahib-New_Delhi_National_Capital_Territory_of_Delhi,"Ashoka Road | Connaught Place,Next to Grand Post Office, New Delhi 110001, India"
India,Swaminarayan_Akshardham-New_Delhi_National_Capital_Territory_of_Delhi,"Nh 24, New Delhi 110002, India"
India,Sri_Meenakshi_Temple-Madurai_Madurai_District_Tamil_Nadu,"North Chitrai Street | J K Plaza, 10/20, Bye-Pass Road, Madurai, Tamil Nadu, India, Madurai 625001, India"
India,Taj_Mahal-Agra_Agra_District_Uttar_Pradesh,"Agra 282001, India"
India,Harmandir_Sahib-Amritsar_Amritsar_District_Punjab,"Golden Temple Road, Amritsar 143006, India"
India,Agra_Fort-Agra_Agra_District_Uttar_Pradesh,"Agra Fort | Rakabgani, Agra 282003, India"
India,Humayun_s_Tomb-New_Delhi_National_Capital_Territory_of_Delhi,"East Nizamudhin | Opp Nizamuddin Mosque, New Delhi 110002, India"
Indonesia,Waterbom_Bali-Kuta_Bali,"Jl. Kartika Plaza, Kuta 80361, Indonesia"
Indonesia,Borobudur_Temple-Borobudur_Magelang_Central_Java_Java," | Taman Wisata Candi Borobudur, Borobudur, Magelang 56553, Indonesia"
Indonesia,Jatiluwih_Green_Land-Tabanan_Bali,"Jatiluwih Village | JTB Office, Tabanan 82152, Indonesia"
Indonesia,Sekumpul_Waterfalls-Singaraja_Bali,"Sawan, Lemukih, Sudaji, Sekumpul | Sekumpul Village, Singaraja 81112, Indonesia"
Indonesia,Borobudur_Temple-Borobudur_Magelang_Central_Java_Java," | Taman Wisata Candi Borobudur, Borobudur, Magelang 56553, Indonesia"
Indonesia,Prambanan_Temples-Prambanan_Central_Java_Java,"Jl. Raya Temulawak, Prambanan 55514, Indonesia"
Indonesia,Tirta_Gangga-Karangasem_Bali,"Jl. Abang-Amlapura, Karangasem 80852, Indonesia"
Indonesia,USS_Liberty_Shipwreck-Tulamben_Bali,"Northeast Coast of Bali, Tulamben, Indonesia"
Indonesia,Ullen_Sentalu_Museum-Yogyakarta_Java,"Jl. Boyong Taman Wisata, Yogyakarta 55581, Indonesia"
Indonesia,Museum_Angkut-Batu_East_Java_Java,"Jl. Terusan Sultan Agung Atas no. 2 | Kota Wisata, Batu 65314, Indonesia"
Indonesia,Museum_Batik_Danar_Hadi-Solo_Central_Java_Java,"Jl. Slamet Riyadi no. 261, Solo 57141, Indonesia"
Indonesia,Neka_Art_Museum-Ubud_Bali,"Raya Campuhan St | Kedewatan Village, Ubud 80571, Indonesia"
Indonesia,Mount_Kawi-Tampaksiring_Bali,"Pakrisan River, Tampaksiring 80552, Indonesia"
Indonesia,Ground_Zero_Monument-Kuta_Bali,"Legian Street, Kuta, Indonesia"
Indonesia,National_Monument_MONAS-Jakarta_Java,"Jl. Silang Monas, Jakarta 10110, Indonesia"
Indonesia,Sam_Po_Kong_Temple-Semarang_Central_Java_Java,"Jl. Simongan Raya 129, Semarang 50236, Indonesia"
Indonesia,Waterbom_Bali-Kuta_Bali,"Jl. Kartika Plaza, Kuta 80361, Indonesia"
