country,attraction,address,latitude,longitude
Cambodia,Backstreet_Academy-Siem_Reap_Siem_Reap_Province,"Angkor Handicraft Association, Road 60, Trang Village, Sangkat Slorkram | 200m East of Naga Bridge, Siem Reap, Cambodia",13.375583,103.869047
Cambodia,Banteay_Samre-Siem_Reap_Siem_Reap_Province,"Banteay Srei | Angkor, Siem Reap, Cambodia",13.627717,104.0304535
Cambodia,Banteay_Kdei-Siem_Reap_Siem_Reap_Province,"Srah Srang | Angkor, Siem Reap, Cambodia",13.4303038,103.9032403
Cambodia,Wonder_of_Angkor-Siem_Reap_Siem_Reap_Province,"Siem reap | Siem reap, Siem Reap +85563, Cambodia",13.3670968,103.8448134
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia",13.3692212,103.8462062
Cambodia,Banteay_Srei-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Preah_Vihear_Temple-Preah_Vihear_Province,Cambodia,12.565679,104.990963
Cambodia,Ta_Som-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Preah_Vihear_Temple-Preah_Vihear_Province,Cambodia,12.565679,104.990963
Cambodia,Banteay_Samre-Siem_Reap_Siem_Reap_Province,"Banteay Srei | Angkor, Siem Reap, Cambodia",13.627717,104.0304535
Cambodia,Banteay_Kdei-Siem_Reap_Siem_Reap_Province,"Srah Srang | Angkor, Siem Reap, Cambodia",13.4303038,103.9032403
Cambodia,Ta_Som-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Sothy_s_Pepper_Farm-Kep_Kep_Province,"Pepper Road, Kep 9829, Cambodia",10.559309,104.354747
Cambodia,Angkor_Silk_Farm-Siem_Reap_Siem_Reap_Province,"Airport Road | Puok District, Siem Reap 17259, Cambodia",13.367097,103.844813
Cambodia,La_Plantation-Kampot_Kampot_Province,"Bosjheng village, Kon Sat commune | old market Street, Kampot 07000, Cambodia",10.607772,104.180073
Cambodia,Farm_Link-Kampot_Kampot_Province," | Tooy Khang Cheun Village, Angdong Khmer Area, Kampot, Cambodia",10.595485,104.155065
China,Mutianyu_Great_Wall-Beijing,"Mutianyu Road, Huairou District, Beijing, China",40.4242717,116.5546486
China,MTR-Hong_Kong,"Hong Kong, China",22.396428,114.109497
China,Catherine_Lu_Tours-Beijing,"Room 408,Building 313, Shaoyaoju Beili, Beijing 100025, China",39.9850024,116.4343732
China,Airport_Express-Hong_Kong,"Hong Kong, China",22.396428,114.109497
China,Summer_Palace_Yiheyuan-Beijing,"19 Xin-jian-gong-men Rd, Haidian District, Beijing 100084, China",40.0257568,116.333938
China,Tian_Tan_Buddha_Big_Buddha-Hong_Kong,"Lantau Island, Hong Kong, China",22.2664984,113.941751
China,Temple_of_Heaven_Tiantan_Park-Beijing,"Tiantan Road, Dongcheng District, Beijing 100050, China",39.883704,116.41284
China,The_Great_wall_of_Jiankou_The_Great_Wall_Alternative-Beijing,"Beijing, China",39.9041999,116.4073963
China,The_Museum_of_Qin_Terra_cotta_Warriors_and_Horses-Xi_an_Shaanxi,"Qinling North Road, Lintong District, Xi'an 710600, China",34.3827715,109.254899
China,Potala_Palace-Lhasa_Tibet,"No.35 Gongqian Alley, Beijing Middle Road | Cheng Guan District, Lhasa 850000, China",29.64621,91.140794
China,Forbidden_City_The_Palace_Museum-Beijing,"No.4 Jingshanqian Street, Dongcheng District, Beijing 100009, China",39.922456,116.396803
China,Hong_Kong_Museum_of_History-Hong_Kong,"100 Chatham Rd S, Tsim Sha Tsui East, Kowloon, Hong Kong, China",22.3018574,114.1773471
China,Summer_Palace_Yiheyuan-Beijing,"19 Xin-jian-gong-men Rd, Haidian District, Beijing 100084, China",40.0257568,116.333938
China,Tian_Tan_Buddha_Big_Buddha-Hong_Kong,"Lantau Island, Hong Kong, China",22.2664984,113.941751
China,Po_Lin_Precious_Lotus_Monastery-Hong_Kong,"Lantau Island, Hong Kong, China",22.2664984,113.941751
China,Leshan_Giant_Buddha_Da_Fo-Leshan_Sichuan,"No.2435 Lingyun Street, Shizhong District, Leshan 614000, China",29.563322,103.775177
China,Harbin_Ice_and_Snow_World-Harbin_Heilongjiang,"North bank of Songhua River, Songbei District, Harbin 150000, China",45.80326,126.535245
China,Ocean_Park-Hong_Kong,"No.180 Wong Chuk Hang Road, Hong Kong, China",22.2472831,114.1763082
China,Chimelong_Paradise-Guangzhou_Guangdong,"Yingbin Road, Panyu District, Guangzhou 511430, China",23.0280187,113.3294876
China,Chimelong_Ocean_Kingdom-Zhuhai_Guangdong,"Fuxiangwan, Hengqin New Area, Zhuhai 519031, China",22.099737,113.497052
China,Mt_Huangshan_Yellow_Mountain-Huangshan_Anhui,"Huangshan Scenic Area, Huangshan District, Huangshan 245000, China",29.71527,118.324129
